,名前,説明,画像,動画,属性情報→,,,,個数
tokenId,name,description,image_url,animation_url,place,image quality,,,
1073,#1073 🙏Itadakimasu Man🙏 2023/02/02,"Created by [itadakimasu-man](https://opensea.io/itadakimasu-man)  \n  \nI have been taking my own itadakimasu videos daily since March 2020.  \nEveryone, let's Itadakimasu.  \nいただきまーす🙏  \n  \nI am generating NFTs with Youtube thumbnails.  \nYouTubeのサムネイルをNFTにしました。  \n  \n🙏Itadakimasu Man🙏 1073 神宮前のカフェ、BAGGAGEのホットドッグ（オニオンピクルス）をウーバーイーツでデリバリーして食べてみた #ASMR \n[https://www.youtube.com/watch?v=ULGZ4KRPbsc](https://www.youtube.com/watch?v=ULGZ4KRPbsc)",ipfs://Qmd4Z2BssrM3C26iGyPYTsaY9YAFn5PULW52gx81HtUKV5,,home,high,,,
1072,#1072 🙏Itadakimasu Man🙏 2023/02/01,"Created by [itadakimasu-man](https://opensea.io/itadakimasu-man)  \n  \nI have been taking my own itadakimasu videos daily since March 2020.  \nEveryone, let's Itadakimasu.  \nいただきまーす🙏  \n  \nI am generating NFTs with Youtube thumbnails.  \nYouTubeのサムネイルをNFTにしました。  \n  \n🙏Itadakimasu Man🙏 1072 食べるスープ専門店、スープストックトーキョーEchika表参道店のオニオンクリームポタージュ（180g）をmenuでデリバリーして食べてみた #ASMR \n[https://www.youtube.com/watch?v=T7lvVCNH9jE](https://www.youtube.com/watch?v=T7lvVCNH9jE)",ipfs://QmeEfEK5MezVj16sLkHZUuJsiCeat4Cj6zxmYny5GCN5qt,,home,high,,,
1071,#1071 🙏Itadakimasu Man🙏 2023/01/31,"Created by [itadakimasu-man](https://opensea.io/itadakimasu-man)  \n  \nI have been taking my own itadakimasu videos daily since March 2020.  \nEveryone, let's Itadakimasu.  \nいただきまーす🙏  \n  \nI am generating NFTs with Youtube thumbnails.  \nYouTubeのサムネイルをNFTにしました。  \n  \n🙏Itadakimasu Man🙏 1071 ササニシキのMATOBAの宮城県産ササニシキと丸福食品の瀬戸の牡蠣バーニャじゃけえ（バーニャカウダ）を食べてみた #ASMR \n[https://www.youtube.com/watch?v=v-kxHaqQ_ig](https://www.youtube.com/watch?v=v-kxHaqQ_ig)",ipfs://QmbpKQvGUQxteA8DH3d61XC7szddp7rVjGm6cHmAEQWehw,,home,high,,,
1070,#1070 🙏Itadakimasu Man🙏 2023/01/30,"Created by [itadakimasu-man](https://opensea.io/itadakimasu-man)  \n  \nI have been taking my own itadakimasu videos daily since March 2020.  \nEveryone, let's Itadakimasu.  \nいただきまーす🙏  \n  \nI am generating NFTs with Youtube thumbnails.  \nYouTubeのサムネイルをNFTにしました。  \n  \n🙏Itadakimasu Man🙏 1070 ディーン＆デルーカ マーケットストア恵比寿のシェフズサラダをウーバーイーツでデリバリーして食べてみた #ASMR \n[https://www.youtube.com/watch?v=v4kXhkxdCkI](https://www.youtube.com/watch?v=v4kXhkxdCkI)",ipfs://QmNrW1mVCu3a3uwaKsu6TbFKL5fXgmftZzZ54VjkD8rPok,,home,high,,,
1069,#1069 🙏Itadakimasu Man🙏 2023/01/29,"Created by [itadakimasu-man](https://opensea.io/itadakimasu-man)  \n  \nI have been taking my own itadakimasu videos daily since March 2020.  \nEveryone, let's Itadakimasu.  \nいただきまーす🙏  \n  \nI am generating NFTs with Youtube thumbnails.  \nYouTubeのサムネイルをNFTにしました。  \n  \n🙏Itadakimasu Man🙏 1069 外苑前のロンドン発トースティ店ディーニーズのロンドンコーリングをウーバーイーツでデリバリーして食べてみた #ASMR \n[https://www.youtube.com/watch?v=5peqpKEGjYE](https://www.youtube.com/watch?v=5peqpKEGjYE)",ipfs://QmfASPmbyxPgcZEkqc1RWG4s8pEhCutL3gpLR46ZVyBKKR,,home,high,,,
1068,#1068 🙏Itadakimasu Man🙏 2023/01/28,"Created by [itadakimasu-man](https://opensea.io/itadakimasu-man)  \n  \nI have been taking my own itadakimasu videos daily since March 2020.  \nEveryone, let's Itadakimasu.  \nいただきまーす🙏  \n  \nI am generating NFTs with Youtube thumbnails.  \nYouTubeのサムネイルをNFTにしました。  \n  \n🙏Itadakimasu Man🙏 1068 バターミルクフライドチキン専門店、ラッキーロッキーチキン代々木八幡店のクラシックバーガーセットをmenuでデリバリーして食べてみた #ASMR \n[https://www.youtube.com/watch?v=7M4BiIFmwlI](https://www.youtube.com/watch?v=7M4BiIFmwlI)",ipfs://QmbvjhB12JVuoUMRRWx6PtXwMYCBe82c3p3WdA791NWSQg,,home,high,,,
1067,#1067 🙏Itadakimasu Man🙏 2023/01/27,"Created by [itadakimasu-man](https://opensea.io/itadakimasu-man)  \n  \nI have been taking my own itadakimasu videos daily since March 2020.  \nEveryone, let's Itadakimasu.  \nいただきまーす🙏  \n  \nI am generating NFTs with Youtube thumbnails.  \nYouTubeのサムネイルをNFTにしました。  \n  \n🙏Itadakimasu Man🙏 1067 渋谷東急フードショーの精肉店、千駄木腰塚のルーベンサンドをmenuでデリバリーして食べてみた #ASMR \n[https://www.youtube.com/watch?v=eDUqRfnEz2s](https://www.youtube.com/watch?v=eDUqRfnEz2s)",ipfs://QmVUxVqw1ivdN9YFpWKDyM6xu4mvVsbVERAwcR45DHysgT,,home,high,,,
1066,#1066 🙏Itadakimasu Man🙏 2023/01/26,"Created by [itadakimasu-man](https://opensea.io/itadakimasu-man)  \n  \nI have been taking my own itadakimasu videos daily since March 2020.  \nEveryone, let's Itadakimasu.  \nいただきまーす🙏  \n  \nI am generating NFTs with Youtube thumbnails.  \nYouTubeのサムネイルをNFTにしました。  \n  \n🙏Itadakimasu Man🙏 1066 ホテルメッツ渋谷のレストラン、huwadoloのサラダセット：3種のお惣菜付きをウーバーイーツでデリバリーして食べてみた #ASMR \n[https://www.youtube.com/watch?v=UYLv-F1WLEI](https://www.youtube.com/watch?v=UYLv-F1WLEI)",ipfs://QmRjNVMRx66YSrzQM2cYNHdfXNiLbASFseQJM5nfX7NvEJ,,home,high,,,
1065,#1065 🙏Itadakimasu Man🙏 2023/01/25,"Created by [itadakimasu-man](https://opensea.io/itadakimasu-man)  \n  \nI have been taking my own itadakimasu videos daily since March 2020.  \nEveryone, let's Itadakimasu.  \nいただきまーす🙏  \n  \nI am generating NFTs with Youtube thumbnails.  \nYouTubeのサムネイルをNFTにしました。  \n  \n🙏Itadakimasu Man🙏 1065 バインミー専門店、バインミーバーバー下北沢店のバインミーバーバーとベトナムコーヒーのセットをウーバーイーツでデリバリーして食べてみた #ASMR \n[https://www.youtube.com/watch?v=nEhxkvsiroY](https://www.youtube.com/watch?v=nEhxkvsiroY)",ipfs://QmeYH4ihNBkSKNZBgkQZENgPMojd1wxpUU2nPP1Kz4kE57,,home,high,,,
1064,#1064 🙏Itadakimasu Man🙏 2023/01/24,"Created by [itadakimasu-man](https://opensea.io/itadakimasu-man)  \n  \nI have been taking my own itadakimasu videos daily since March 2020.  \nEveryone, let's Itadakimasu.  \nいただきまーす🙏  \n  \nI am generating NFTs with Youtube thumbnails.  \nYouTubeのサムネイルをNFTにしました。  \n  \n🙏Itadakimasu Man🙏 1064 代官山のハワイアンキッチン、サインオールデイのベーコンエッグパンケーキをWoltでデリバリーして食べてみた #ASMR \n[https://www.youtube.com/watch?v=Ohirp6y_YCA](https://www.youtube.com/watch?v=Ohirp6y_YCA)",ipfs://QmeZShtKMdwPTMsTjbwHkzNvgBGfzi813kRWpweifwYZBb,,home,high,,,
